run,count,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,mean_ms
latencies_u20_rep1,83,11131.406198255718,20122.135912254456,20188.33365989849,21335.034706238646,967.2057311981916,22217.85077918321,12937.55905298763
latencies_u10_rep1,76,10260.808895342052,10548.113447148353,10748.83390381001,11280.075667891651,190.82107301801443,11296.027109958231,6997.2762914472505
latencies_u20_rep2,82,10260.258372407407,20112.391042988747,20337.933064065874,20608.447294496003,164.31099083274603,20658.10908004641,11795.27691471186
latencies_u1_rep3,57,1037.127949297428,1459.2573545873165,1487.1734514832497,1561.9842435419557,194.91764716804028,1614.3379993736744,903.2309701698914
latencies_u1_rep2,56,1018.4134119190276,1324.9465534463525,1381.717337993905,1863.977764965967,200.39174892008305,1998.572620563209,903.1328046195475
latencies_u20_rep3,83,10256.472494453192,20206.84856530279,20584.445404447615,20671.130810137838,170.147649012506,20896.527313627303,11625.302432632321
latencies_u10_rep2,72,10258.183559868487,10728.88309750706,11237.501013744622,11397.475032461807,184.8124973475933,11587.064041756094,7409.404923195123
latencies_u1_rep1,56,1020.1281881891191,1575.6595567800105,1759.1502172872424,3210.364667652181,187.44973000139,4468.434669077396,927.7183686083715
latencies_u10_rep3,87,10234.149334952235,10349.759837985039,10447.584635205567,11271.983423605561,187.0106253772974,11299.259446561337,6074.087910364842
